path,imgversion,imgbasicFlags,imgadvancedFlags,imgwidth,imgheight,imgimageFormat,fileSize
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTAMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,LIC,256,256,CLUT8,29927
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTAMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,6846
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTAMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,36610
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTAMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,6822
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTAMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,36354
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTAMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,6870
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTBMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,57274
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTBMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,4208
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTBMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,57252
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTBMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,4208
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTBMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,57396
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTBMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,4208
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP0.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,54032
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP0B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,13516
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,54730
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,13846
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,54312
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CSTCMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,13516
